P. Name,CRS_Yscore,DRS_Yscore,CRS_Norm,DRS_Norm
Earth,1,1,0.0031762706,0.0059927031
55 Cnc e,1.906421,1.77387,0.0060553089,0.0106302763
61 Vir b,1.612348,1.530004,0.0051212535,0.0091688598
alf Cen B b,1.091001,1.077714,0.0034653144,0.0064584201
BD-061339 b,1.834313,1.718731,0.0058262744,0.0102998447
CoRoT-7 b,1.699794,1.608759,0.0053990057,0.0096408151
CoRoT-7 c,1.835839,1.719606,0.0058311214,0.0103050883
PSR 1719-14 b,4.437543,1.651144,0.0140948373,0.0098948158
GJ 176 b,1.821584,1.708136,0.0057858437,0.010236352
GJ 667C b,1.64051,1.554721,0.0052107036,0.0093169814
KIC-5522786 b,1.197287,1.419643,0.0038029075,0.0085074991
GJ 667C d,1.601706,1.521566,0.0050874516,0.0091182933
GJ 667C e,1.351929,1.307206,0.0042940923,0.0078336975
GJ 667C f,1.352102,1.307373,0.0042946418,0.0078346983
GJ 667C g,1.555178,1.481873,0.0049396661,0.008880425
GJ 676A d,1.547722,1.475552,0.0049159838,0.0088425451
GJ 832 c,1.622592,1.539553,0.0051537912,0.0092260841
GJ 1214 b,2.169943,1.96753,0.0068923261,0.0117908232
GJ 3634 b,1.737835,1.63742,0.0055198342,0.009812572
Gl 15 A b,1.621618,1.538636,0.0051506975,0.0092205888
Gl 581 c,1.622906,1.53985,0.0051547886,0.0092278639
Gl 581 e,1.239261,1.209328,0.0039362282,0.0072471437
Gl 649 c,1.878396,1.755906,0.0059662939,0.0105226234
Gliese 876 d,1.627898,1.54406,0.0051706445,0.0092530932
HD 1461 b,1.789715,1.680583,0.0056846191,0.010071235
HD 1461 c,1.670543,1.580107,0.0053060966,0.0094691122
HD 7924 b,1.867774,1.746751,0.0059325556,0.0104677602
HD 20794 b,1.361756,1.315509,0.0043253055,0.0078834549
HD 20794 c,1.312699,1.273294,0.0041694872,0.007630473
HD 20794 d,1.575476,1.499367,0.0050041381,0.0089852613
HD 39194 b,1.487106,1.423163,0.004723451,0.0085285934
HD 39194 c,1.674725,1.583778,0.0053193797,0.0094911114
HD 39194 d,1.60531,1.524909,0.0050988989,0.009138327
HD 40307 b,1.513815,1.446301,0.004808286,0.0086672525
HD 40307 c,1.711127,1.614687,0.0054350023,0.0096763399
HD 40307 d,1.87815,1.755688,0.0059655126,0.010521317
HD 40307 e,1.445701,1.388205,0.0045919375,0.0083191005
HD 40307 f,1.612859,1.531242,0.0051228766,0.0091762787
HD 40307 g,1.743769,1.642265,0.0055386822,0.0098416066
HD 85512 b,1.445109,1.387658,0.0045900572,0.0083158225
HD 93385 b,1.829396,1.714315,0.0058106567,0.0102733809
HD 96700 b,1.863955,1.743362,0.0059204254,0.0104474509
HD 97658 b,1.997877,1.841992,0.0063457979,0.0110385112
HD 134606 b,1.876988,1.754595,0.0059618218,0.010514767
HD 136352 b,1.624724,1.540972,0.005160563,0.0092345877
HD 136352 d,1.877841,1.755393,0.0059645311,0.0105195491
HD 154088 b,1.684517,1.59217,0.0053504818,0.0095414022
HD 156668 b,1.530862,1.460796,0.0048624319,0.0087541168
HD 181433 b,1.777895,1.671198,0.0056470756,0.0100149935
HD 215152 b,1.373022,1.325273,0.0043610894,0.0079419677
HD 215152 c,1.406248,1.354037,0.0044666241,0.0081143418
HD 215497 b,1.711822,1.614679,0.0054372098,0.0096762919
Kapteyn's b,1.574564,1.498503,0.0050012413,0.0089800836
Kapteyn's c,1.73455,1.634487,0.0055094001,0.0097949954
Kepler-4 b,3.202379,2.786668,0.0101716222,0.0166996741
Kepler-9 d,1.822456,1.695752,0.0057886134,0.0101621383
Kepler-10 b,1.467845,1.403871,0.0046622729,0.0084129822
Kepler-10 c,2.261313,2.075562,0.0071825419,0.0124382269
Kepler-11 b,1.531987,1.443108,0.0048660052,0.0086481178
Kepler-18 b,1.85884,1.731712,0.0059041788,0.0103776359
Kepler-19 b,2.134442,1.970187,0.0067795653,0.0118067458
Kepler-20 b,1.839477,1.722669,0.0058426767,0.0103234439
Kepler-20 c,2.578965,2.306303,0.0081914906,0.0138209892
Kepler-20 e,0.890165,0.987393,0.0028274049,0.0059171531
Kepler-20 f,1.008296,1.00523,0.0032026209,0.006024045
Kepler-21 b,1.60576,1.522445,0.0051003282,0.0091235609
Kepler-22 b,2.26112,2.075409,0.0071819289,0.01243731
Kepler-23 b,1.839517,1.722461,0.0058428037,0.0103221974
Kepler-24 b,2.26819,2.081306,0.0072043852,0.012472649
Kepler-26 e,2.321162,2.125091,0.0073726386,0.0127350395
Kepler-33 b,1.742462,1.63997,0.0055345308,0.0098278534
Kepler-36 b,1.488231,1.428318,0.0047270243,0.0085594858
Kepler-37 b,0.676247,0.872248,0.0021479434,0.0052271233
Kepler-37 c,0.814214,0.959037,0.002586164,0.005747224
Kepler-37 d,1.859249,1.739811,0.0059054779,0.0104261708
Kepler-38(AB) b,3.92185,3.383346,0.0124568568,0.0202753882
Kepler-42 b,0.816093,0.961712,0.0025921322,0.0057632545
Kepler-42 c,0.807396,0.958715,0.0025645082,0.0057452944
Kepler-42 d,0.754325,0.925641,0.0023959403,0.0055470917
Kepler-48 b,1.813288,1.700616,0.0057594933,0.0101912868
Kepler-48 c,2.383051,2.156925,0.0075692148,0.0129258112
Kepler-48 d,1.888447,1.758561,0.0059982186,0.010538534
Kepler-49 d,1.548298,1.476016,0.0049178134,0.0088453257
Kepler-49 e,1.501693,1.436338,0.0047697833,0.0086075472
Kepler-50 b,2.779829,2.503557,0.0088294891,0.0150030739
Kepler-50 c,2.659849,2.398254,0.0084484001,0.0143720243
Kepler-52 b,2.043521,1.894344,0.0064907756,0.0113522412
Kepler-52 c,1.7173,1.620027,0.0054546095,0.0097083409
Kepler-52 d,1.868558,1.747632,0.0059350458,0.0104730398
Kepler-53 d,2.038267,1.88983,0.0064740875,0.0113251902
Kepler-54 b,2.043276,1.89412,0.0064899974,0.0113508989
Kepler-54 c,1.200261,1.175361,0.0038123537,0.0070435896
