P. Name,P. Mass Class,P. Composition Class,P. Habitable Class,P. Habitable,CES_CRS_nu,a1,a2,a3,a4,a5,rho,nu
55 Cnc e,Superterran,rocky-water,non-habitable,0,-4.316417,0.1,0.1,0.1,0.6,0.1,1,1
61 Vir b,Superterran,rocky-iron,non-habitable,0,-2.745708,0.1,0.1,0.1,0.6,0.1,1,1
alf Cen B b,Terran,rocky-iron,non-habitable,0,-2.597042,0.1,0.1,0.1,0.6,0.1,1,1
BD+20 594 b,Superterran,rocky-iron,non-habitable,0,-2.185757,0.1,0.1,0.6,0.1,0.1,1,1
BD-06 1339 b,Superterran,rocky-iron,non-habitable,0,-3.070792,0.1,0.1,0.1,0.6,0.1,1,1
CoRoT-7 b,Superterran,rocky-iron,non-habitable,0,-4.101958,0.1,0.1,0.1,0.6,0.1,1,1
CoRoT-7 c,Superterran,rocky-iron,non-habitable,0,-2.737167,0.1,0.1,0.1,0.6,0.1,1,1
EPIC-206011691 b,Superterran,rocky-iron,non-habitable,0,-1.579542,0.1,0.1,0.1,0.6,0.1,1,1
EPIC-206011691 c,Superterran,rocky-iron,non-habitable,0,-1.759,0.1,0.1,0.6,0.1,0.1,1,1
EPIC 201295312 b,Neptunian,rocky-water,non-habitable,0,-3.235667,0.1,0.1,0.1,0.6,0.1,1,1
EPIC 201445392 c,Superterran,rocky-iron,non-habitable,0,-2.9275,0.1,0.1,0.1,0.6,0.1,1,1
EPIC 201637175 b,Neptunian,rocky-iron,non-habitable,0,-14.206257,0.1,0.6,0.1,0.1,0.1,1,1
EPIC 203826436 b,Superterran,rocky-iron,non-habitable,0,-2.551167,0.1,0.1,0.1,0.6,0.1,1,1
EPIC 204221263 b,Terran,rocky-iron,non-habitable,0,-2.969,0.1,0.1,0.1,0.6,0.1,1,1
EPIC 204221263 c,Superterran,rocky-iron,non-habitable,0,-2.604208,0.1,0.1,0.1,0.6,0.1,1,1
EPIC 211822797 b,Superterran,rocky-iron,non-habitable,0,-2.158306,0.1,0.1,0.6,0.1,0.1,1,1
EPIC 211913977 b,Superterran,rocky-iron,non-habitable,0,-1.928632,0.1,0.1,0.6,0.1,0.1,1,1
EPIC 211969807 b,Superterran,rocky-iron,non-habitable,0,-2.11575,0.1,0.1,0.1,0.6,0.1,1,1
EPIC 211970147 b,Terran,rocky-iron,non-habitable,0,-1.714625,0.1,0.1,0.1,0.6,0.1,1,1
EPIC 220674823 b,Terran,rocky-iron,non-habitable,0,-5.115417,0.1,0.1,0.1,0.6,0.1,1,1
GJ 15 A b,Superterran,rocky-iron,non-habitable,0,-1.489215,0.1,0.1,0.6,0.1,0.1,1,1
GJ 163 c,Superterran,rocky-iron,psychroplanet,1,-1.599687,0.1,0.1,0.6,0.1,0.1,1,1
GJ 176 b,Superterran,rocky-iron,non-habitable,0,-1.746986,0.1,0.1,0.6,0.1,0.1,1,1
GJ 180 b,Superterran,rocky-iron,mesoplanet,1,-1.684299,0.1,0.1,0.6,0.1,0.1,1,1
GJ 180 c,Superterran,rocky-iron,mesoplanet,1,-1.539917,0.1,0.1,0.6,0.1,0.1,1,1
GJ 273 b,Terran,rocky-iron,mesoplanet,1,-1.216181,0.1,0.1,0.6,0.1,0.1,1,1
GJ 273 c,Terran,rocky-iron,non-habitable,0,-1.271417,0.1,0.1,0.1,0.6,0.1,1,1
GJ 422 b,Superterran,rocky-iron,mesoplanet,1,-1.770868,0.1,0.1,0.6,0.1,0.1,1,1
GJ 433 b,Superterran,rocky-iron,non-habitable,0,-1.501347,0.1,0.1,0.6,0.1,0.1,1,1
GJ 536 b,Superterran,rocky-iron,non-habitable,0,-1.525993,0.1,0.1,0.6,0.1,0.1,1,1
GJ 581 c,Superterran,rocky-iron,non-habitable,0,-1.485021,0.1,0.1,0.6,0.1,0.1,1,1
GJ 581 e,Terran,rocky-iron,non-habitable,0,-1.49925,0.1,0.1,0.1,0.6,0.1,1,1
GJ 649 c,Superterran,rocky-iron,non-habitable,0,-1.866403,0.1,0.1,0.6,0.1,0.1,1,1
GJ 667 C b,Superterran,rocky-iron,non-habitable,0,-1.531063,0.1,0.1,0.6,0.1,0.1,1,1
GJ 667 C c,Terran,rocky-iron,mesoplanet,1,-1.302444,0.1,0.1,0.6,0.1,0.1,1,1
GJ 667 C d,Superterran,rocky-iron,non-habitable,0,-1.401979,0.1,0.1,0.6,0.1,0.1,1,1
GJ 667 C e,Terran,rocky-iron,psychroplanet,1,-1.158854,0.6,0.1,0.1,0.1,0.1,1,1
GJ 667 C f,Terran,rocky-iron,psychroplanet,1,-1.170896,0.6,0.1,0.1,0.1,0.1,1,1
GJ 667 C g,Terran,rocky-iron,non-habitable,0,-1.347035,0.1,0.1,0.6,0.1,0.1,1,1
GJ 676 A d,Terran,rocky-iron,non-habitable,0,-1.985,0.1,0.1,0.1,0.6,0.1,1,1
GJ 682 b,Terran,rocky-iron,non-habitable,0,-1.388076,0.1,0.1,0.6,0.1,0.1,1,1
GJ 682 c,Superterran,rocky-iron,psychroplanet,1,-1.688063,0.1,0.1,0.6,0.1,0.1,1,1
GJ 832 c,Superterran,rocky-iron,mesoplanet,1,-1.460674,0.1,0.1,0.6,0.1,0.1,1,1
GJ 876 d,Superterran,rocky-iron,non-habitable,0,-1.873167,0.1,0.1,0.1,0.6,0.1,1,1
GJ 1132 b,Terran,rocky-iron,non-habitable,0,-1.516875,0.1,0.1,0.1,0.6,0.1,1,1
GJ 3138 b,Terran,rocky-iron,non-habitable,0,-1.533792,0.1,0.1,0.1,0.6,0.1,1,1
GJ 3138 c,Terran,rocky-iron,non-habitable,0,-2.148667,0.1,0.1,0.1,0.6,0.1,1,1
GJ 3293 d,Superterran,rocky-iron,psychroplanet,1,-1.626597,0.1,0.1,0.6,0.1,0.1,1,1
GJ 3293 e,Terran,rocky-iron,non-habitable,0,-1.294972,0.1,0.1,0.6,0.1,0.1,1,1
GJ 3323 b,Terran,rocky-iron,mesoplanet,1,-1.115583,0.6,0.1,0.1,0.1,0.1,1,1
GJ 3323 c,Terran,rocky-iron,non-habitable,0,-1.109861,0.6,0.1,0.1,0.1,0.1,1,1
