P. Name,P. Mass Class,P. Composition Class,P. Habitable Class,P. Habitable,DRS_nu,a1,a2,a3,a4,a5,rho,nu
55 Cnc e,Superterran,rocky-water,non-habitable,0,-4.253752,0.1,0.1,0.1,0.6,0.1,1,0.99
61 Vir b,Superterran,rocky-iron,non-habitable,0,-2.718115,0.1,0.1,0.1,0.6,0.1,1,0.99
alf Cen B b,Terran,rocky-iron,non-habitable,0,-2.572374,0.1,0.1,0.1,0.6,0.1,1,0.99
BD+20 594 b,Superterran,rocky-iron,non-habitable,0,-2.168732,0.1,0.1,0.6,0.1,0.1,1,0.99
BD-06 1339 b,Superterran,rocky-iron,non-habitable,0,-3.036532,0.1,0.1,0.1,0.6,0.1,1,0.99
CoRoT-7 b,Superterran,rocky-iron,non-habitable,0,-4.044467,0.1,0.1,0.1,0.6,0.1,1,0.99
CoRoT-7 c,Superterran,rocky-iron,non-habitable,0,-2.709744,0.1,0.1,0.1,0.6,0.1,1,0.99
EPIC-206011691 b,Superterran,rocky-iron,non-habitable,0,-1.572338,0.1,0.1,0.1,0.6,0.1,1,0.99
EPIC-206011691 c,Superterran,rocky-iron,non-habitable,0,-1.749094,0.1,0.1,0.6,0.1,0.1,1,0.99
EPIC 201295312 b,Neptunian,rocky-water,non-habitable,0,-3.197895,0.1,0.1,0.1,0.6,0.1,1,0.99
EPIC 201445392 c,Superterran,rocky-iron,non-habitable,0,-2.896223,0.1,0.1,0.1,0.6,0.1,1,0.99
EPIC 201637175 b,Neptunian,rocky-iron,non-habitable,0,-13.834226,0.1,0.6,0.1,0.1,0.1,1,0.99
EPIC 203826436 b,Superterran,rocky-iron,non-habitable,0,-2.527385,0.1,0.1,0.1,0.6,0.1,1,0.99
EPIC 204221263 b,Terran,rocky-iron,non-habitable,0,-2.936866,0.1,0.1,0.1,0.6,0.1,1,0.99
EPIC 204221263 c,Superterran,rocky-iron,non-habitable,0,-2.579402,0.1,0.1,0.1,0.6,0.1,1,0.99
EPIC 211822797 b,Superterran,rocky-iron,non-habitable,0,-2.141765,0.1,0.1,0.6,0.1,0.1,1,0.99
EPIC 211913977 b,Superterran,rocky-iron,non-habitable,0,-1.916006,0.1,0.1,0.6,0.1,0.1,1,0.99
EPIC 211969807 b,Superterran,rocky-iron,non-habitable,0,-2.099954,0.1,0.1,0.1,0.6,0.1,1,0.99
